Flat profile of libsolarus.so.1 (LD_PROFILE, symbolized by sprof_parse.py; glibc sprof broken by dlmopen assertion)
total samples: 6866  rate: 100 Hz  => 68.66 s of libsolarus self-time
text range: 0x0..0x2e1000  bins: 754688 x 4 B  unmapped samples: 15 (0.22%)
CAVEATS: (1) the "_init" bucket is really the .plt region (0xc6d28..0xd1ee8 follows _init with no
covering symbol) = PLT stubs + LD_PROFILE's forced-lazy audit trampoline on every cross-DSO call —
mostly profiling-mode overhead, discount it. (2) samples cover ALL threads (SIGPROF is process-wide):
the lua-console stdin thread busy-polls MainLoop::is_exiting() (173M arc calls over the run) and owns
ranks 2-3. POSSIBLE REAL FINDING, not just an artifact: the daemon launches the engine with stdin from
/dev/null, so getline() hits EOF instantly and this thread likely spins a whole A9 core in SHIP runs too
(competing with the core-1 audio thread). Cheap fix candidate: launch with -lua-console=no.

  %   cumulative   self              self
 time   seconds   seconds    calls  name
  0.06      63.80      0.04        -  std::_Rb_tree<int, std::pair<int const, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, std::_Select1st<std::pair<int const, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > > > >::_M_erase(std::_Rb_tree_node<std::pair<int const, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > > >*) [clone .isra.0]
  0.06      63.84      0.04        -  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__ops::_Val_comp_iter<Solarus::(anonymous namespace)::DrawingOrderComparator> >(__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__ops::_Val_comp_iter<Solarus::(anonymous namespace)::DrawingOrderComparator>)
  0.06      63.88      0.04        -  bool __gnu_cxx::__ops::_Iter_comp_iter<Solarus::EntityZOrderComparator>::operator()<__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > > >(__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >) [clone .constprop.0]
  0.06      63.92      0.04        -  Solarus::Entities::find_entity(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.06      63.96      0.04        -  Solarus::Entities::get_entities_in_rectangle_z_sorted(Solarus::Rectangle const&, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > >&)
  0.06      64.00      0.04        -  Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::Node::get_num_elements() const
  0.06      64.04      0.04        -  Solarus::Entity::get_y() const
  0.06      64.08      0.04        -  Solarus::Entity::is_suspended() const
  0.06      64.12      0.04        -  Solarus::Sensor::get_type() const
  0.06      64.16      0.04        -  Solarus::Drawable::draw(std::shared_ptr<Solarus::Surface> const&, Solarus::Point const&) const
